year,importer1,importer2,flow1,flow2
2005,10,15,0.065916052,0.065916052
2005,10,16,0.119381919,0.119381919
2005,10,17,0.116062455,0.116062455
2005,10,18,0.329128067,0.329128067
2005,10,19,0.271014961,0.271014961
2005,10,20,0.246151581,0.246151581
2005,10,21,0.276458618,0.276458618
2005,10,22,0.118174354,0.118174354
2005,10,23,0.121292811,0.121292811
2005,10,24,0.117382953,0.117382953
2005,10,25,0.186462915,0.186462915
2005,10,26,0.094463335,0.094463335
2005,10,27,0.126766382,0.126766382
2005,10,28,0.206195838,0.206195838
2005,10,29,0.087109873,0.087109873
2005,10,30,0.058826351,0.058826351
2005,10,31,0.120484417,0.120484417
2005,10,32,0.004153616,0.004153616
2005,10,34,0.001189857,0.001189857
2005,11,11,0.199074704,0.199074704
2005,11,12,0.135725996,0.135725996
2005,11,13,0.058524322,0.058524322
2005,11,14,0.114298112,0.114298112
2005,11,15,0.05213214,0.05213214
2005,11,16,0.082346062,0.082346062
2005,11,17,0.07495069,0.07495069
2005,11,18,0.186434167,0.186434167
2005,11,19,0.14625478,0.14625478
2005,11,20,0.131914275,0.131914275
2005,11,21,0.148390088,0.148390088
2005,11,22,0.062506546,0.062506546
2005,11,23,0.067820086,0.067820086
2005,11,24,0.0650241,0.0650241
2005,11,25,0.098718242,0.098718242
2005,11,26,0.056576486,0.056576486
2005,11,27,0.071383309,0.071383309
2005,11,28,0.104179424,0.104179424
2005,11,29,0.045762751,0.045762751
2005,11,30,0.031179252,0.031179252
2005,11,31,0.058579647,0.058579647
2005,11,34,0.000518163,0.000518163
2005,12,12,0.199206832,0.199206832
2005,12,13,0.074710719,0.074710719
2005,12,14,0.165696827,0.165696827
2005,12,15,0.057758006,0.057758006
2005,12,16,0.077819436,0.077819436
2005,12,17,0.082957361,0.082957361
2005,12,18,0.193023715,0.193023715
2005,12,19,0.159147943,0.159147943
2005,12,20,0.146005622,0.146005622
2005,12,21,0.16893162,0.16893162
2005,12,22,0.069315938,0.069315938
2005,12,23,0.071415931,0.071415931
2005,12,24,0.073006996,0.073006996
2005,12,25,0.116076218,0.116076218
2005,12,26,0.057819275,0.057819275
2005,12,27,0.074660437,0.074660437
2005,12,28,0.118326666,0.118326666
2005,12,29,0.053862568,0.053862568
2005,12,30,0.038139758,0.038139758
2005,12,31,0.070837296,0.070837296
2005,12,32,0.000427076,0.000427076
2005,12,34,0.000322343,0.000322343
2005,13,13,0.22239515,0.22239515
2005,13,14,0.233047924,0.233047924
2005,13,15,0.094060787,0.094060787
2005,13,16,0.10163118,0.10163118
2005,13,17,0.09732502,0.09732502
2005,13,18,0.220683782,0.220683782
2005,13,19,0.173993603,0.173993603
2005,13,20,0.167330209,0.167330209
2005,13,21,0.189068304,0.189068304
2005,13,22,0.088786979,0.088786979
2005,13,23,0.091115047,0.091115047
2005,13,24,0.091162684,0.091162684
2005,13,25,0.164052078,0.164052078
2005,13,26,0.073205585,0.073205585
2005,13,27,0.108114077,0.108114077
2005,13,28,0.157049226,0.157049226
2005,13,29,0.070157394,0.070157394
2005,13,30,0.038144512,0.038144512
2005,13,31,0.09068882,0.09068882
2005,13,32,0.001461357,0.001461357
2005,13,34,0.001156464,0.001156464
2005,14,14,0.272563739,0.272563739
2005,14,15,0.069495457,0.069495457
2005,14,16,0.117577566,0.117577566
2005,14,17,0.085433311,0.085433311
2005,14,18,0.207840092,0.207840092
2005,14,19,0.165145402,0.165145402
2005,14,20,0.156255895,0.156255895
2005,14,21,0.187174883,0.187174883
2005,14,22,0.078663105,0.078663105
2005,14,23,0.082889048,0.082889048
2005,14,24,0.0879456,0.0879456
2005,14,25,0.131631169,0.131631169
2005,14,26,0.063885013,0.063885013
2005,14,27,0.084056943,0.084056943
2005,14,28,0.135592794,0.135592794
2005,14,29,0.056756187,0.056756187
2005,14,30,0.034321615,0.034321615
2005,14,31,0.074273543,0.074273543
2005,14,32,0.000403432,0.000403432
2005,14,33,0.001073236,0.001073236
2005,14,34,0.000139594,0.000139594
2005,15,15,0.087777826,0.087777826
2005,15,16,0.121647103,0.121647103
2005,15,17,0.093423208,0.093423208
2005,15,18,0.177062702,0.177062702
2005,15,19,0.145479376,0.145479376
2005,15,20,0.129114119,0.129114119
2005,15,21,0.14780366,0.14780366
2005,15,22,0.065376561,0.065376561
2005,15,23,0.069170606,0.069170606
2005,15,24,0.063615719,0.063615719
2005,15,25,0.117007584,0.117007584
2005,15,26,0.054820994,0.054820994
2005,15,27,0.077732134,0.077732134
2005,15,28,0.108986557,0.108986557
2005,15,29,0.048943857,0.048943857
2005,15,30,0.028367477,0.028367477
2005,15,31,0.067352295,0.067352295
2005,15,34,0.001049766,0.001049766
2005,16,16,0.135764552,0.135764552
2005,16,17,0.085145766,0.085145766
2005,16,18,0.152861174,0.152861174
2005,16,19,0.10909931,0.10909931
2005,16,20,0.09554871,0.09554871
2005,16,21,0.115792787,0.115792787
2005,16,22,0.043603472,0.043603472
2005,16,23,0.049253144,0.049253144
2005,16,24,0.050039968,0.050039968
2005,16,25,0.066291389,0.066291389
2005,16,26,0.044008938,0.044008938
2005,16,27,0.051189113,0.051189113
2005,16,28,0.076415977,0.076415977
2005,16,29,0.031330546,0.031330546
2005,16,30,0.027834507,0.027834507
2005,16,31,0.040749339,0.040749339
2005,16,32,0.002187556,0.002187556
2005,16,34,5.08E-05,5.08E-05
2005,17,17,0.132408734,0.132408734
2005,17,18,0.200046925,0.200046925
2005,17,19,0.141962932,0.141962932
2005,17,20,0.12087843,0.12087843
2005,17,21,0.138062721,0.138062721
2005,17,22,0.054798087,0.054798087
2005,17,23,0.06328797,0.06328797
2005,17,24,0.06010059,0.06010059
2005,17,25,0.099683859,0.099683859
2005,17,26,0.056693986,0.056693986
2005,17,27,0.07151532,0.07151532
2005,17,28,0.110646818,0.110646818
2005,17,29,0.04706679,0.04706679
2005,17,30,0.033573704,0.033573704
2005,17,31,0.06052471,0.06052471
2005,17,32,0.001042462,0.001042462
2005,18,18,0.402488639,0.402488639
2005,18,19,0.34643629,0.34643629
2005,18,20,0.305333282,0.305333282
2005,18,21,0.321864478,0.321864478
2005,18,22,0.115128368,0.115128368
2005,18,23,0.130026101,0.130026101
2005,18,24,0.123071618,0.123071618
2005,18,25,0.183148866,0.183148866
2005,18,26,0.091585551,0.091585551
2005,18,27,0.115376699,0.115376699
2005,18,28,0.203837837,0.203837837
2005,18,29,0.098867831,0.098867831
2005,18,30,0.059659684,0.059659684
2005,18,31,0.117467762,0.117467762
2005,18,32,0.00134538,0.00134538
2005,18,34,0.000200266,0.000200266
2005,19,19,0.269296103,0.269296103
2005,19,20,0.289983194,0.289983194
2005,19,21,0.296726143,0.296726143
2005,19,22,0.102783963,0.102783963
2005,19,23,0.112522153,0.112522153
2005,19,24,0.106597393,0.106597393
2005,19,25,0.162126316,0.162126316
2005,19,26,0.083363195,0.083363195
2005,19,27,0.105286955,0.105286955
2005,19,28,0.184669893,0.184669893
2005,19,29,0.069544562,0.069544562
2005,19,30,0.048449556,0.048449556
2005,19,31,0.096929128,0.096929128
2005,19,32,6.30E-05,6.30E-05
2005,19,34,0.000627414,0.000627414
2005,20,20,0.289990858,0.289990858
2005,20,21,0.360393182,0.360393182
2005,20,22,0.112423549,0.112423549
2005,20,23,0.124889909,0.124889909
2005,20,24,0.118988573,0.118988573
2005,20,25,0.181569767,0.181569767
2005,20,26,0.091908984,0.091908984
2005,20,27,0.116147088,0.116147088
2005,20,28,0.193084794,0.193084794
2005,20,29,0.073825828,0.073825828
2005,20,30,0.050460996,0.050460996
2005,20,31,0.106591782,0.106591782
2005,20,32,0.003112929,0.003112929
2005,20,34,0.000324021,0.000324021
2005,21,21,0.323197621,0.323197621
2005,21,22,0.149382893,0.149382893
2005,21,23,0.145481064,0.145481064
2005,21,24,0.132757403,0.132757403
2005,21,25,0.195440588,0.195440588
2005,21,26,0.101315906,0.101315906
2005,21,27,0.121455558,0.121455558
2005,21,28,0.189315173,0.189315173
2005,21,29,0.072496341,0.072496341
2005,21,30,0.055756205,0.055756205
2005,21,31,0.101276098,0.101276098
2005,21,32,0.003223518,0.003223518
2005,21,33,0.000905614,0.000905614
2005,21,34,0.000414134,0.000414134
2005,22,22,0.260915706,0.260915706
2005,22,23,0.14802631,0.14802631
2005,22,24,0.092250307,0.092250307
2005,22,25,0.154506016,0.154506016
2005,22,26,0.068651846,0.068651846
2005,22,27,0.083574474,0.083574474
2005,22,28,0.116645324,0.116645324
2005,22,29,0.049301192,0.049301192
2005,22,30,0.034060119,0.034060119
2005,22,31,0.068129186,0.068129186
2005,22,32,0.001226326,0.001226326
2005,23,23,0.166958035,0.166958035
2005,23,24,0.113498568,0.113498568
2005,23,25,0.150158999,0.150158999
2005,23,26,0.067497706,0.067497706
2005,23,27,0.074179998,0.074179998
2005,23,28,0.112737323,0.112737323
2005,23,29,0.047026515,0.047026515
2005,23,30,0.029701835,0.029701835
2005,23,31,0.062828741,0.062828741
2005,23,32,0.001839302,0.001839302
2005,23,34,0.000122776,0.000122776
2005,24,24,0.150290813,0.150290813
2005,24,25,0.143068069,0.143068069
2005,24,26,0.070111528,0.070111528
2005,24,27,0.076719531,0.076719531
2005,24,28,0.116879313,0.116879313
2005,24,29,0.048579344,0.048579344
2005,24,30,0.034691822,0.034691822
2005,24,31,0.062160886,0.062160886
2005,24,32,0.001522687,0.001522687
2005,24,33,6.52E-05,6.52E-05
2005,24,34,0.000156687,0.000156687
2005,25,25,0.430633136,0.430633136
2005,25,26,0.205399729,0.205399729
2005,25,27,0.230316974,0.230316974
2005,25,28,0.296046016,0.296046016
2005,25,29,0.121319312,0.121319312
2005,25,30,0.086039077,0.086039077
2005,25,31,0.16900305,0.16900305
2005,25,32,0.00158366,0.00158366
2005,25,33,0.000254641,0.000254641
2005,25,34,0.001158854,0.001158854
2005,26,26,0.062260407,0.062260407
2005,26,27,0.137486946,0.137486946
2005,26,28,0.123630387,0.123630387
2005,26,29,0.046357968,0.046357968
2005,26,30,0.038759288,0.038759288
2005,26,31,0.062568772,0.062568772
2005,26,32,0.001766967,0.001766967
2005,26,34,0.000303477,0.000303477
2005,27,27,0.172873634,0.172873634
2005,27,28,0.240759585,0.240759585
2005,27,29,0.086887512,0.086887512
2005,27,30,0.058730508,0.058730508
2005,27,31,0.119127629,0.119127629
2005,27,32,0.003745415,0.003745415
2005,27,34,0.001046519,0.001046519
2005,28,28,0.372949211,0.372949211
2005,28,29,0.133953651,0.133953651
2005,28,30,0.096899245,0.096899245
2005,28,31,0.177852815,0.177852815
2005,28,32,0.004143136,0.004143136
2005,28,33,0.000923781,0.000923781
2005,28,34,0.001637225,0.001637225
2005,29,29,0.194407522,0.194407522
2005,29,30,0.050281345,0.050281345
2005,29,31,0.106183837,0.106183837
2005,29,32,0.001146651,0.001146651
2005,29,34,0.000246116,0.000246116
2005,30,30,0.226610286,0.226610286
2005,30,31,0.081370454,0.081370454
2005,30,32,0.005254516,0.005254516
2005,31,31,0.312965654,0.312965654
2005,31,32,0.025911812,0.025911812
2005,31,33,0.002897133,0.002897133
2005,31,34,0.00082563,0.00082563
2005,32,32,0.691241304,0.691241304
2005,32,33,0.020478621,0.020478621
2005,33,33,0.12467563,0.12467563
2005,33,34,0.004735284,0.004735284
